what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452725332094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452725340168
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452725341649
error,log,,,"Error creating session",1452725347112
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452725347157
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452725354057
error,log,,,"Error creating session",1452725358507
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452725358557
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452725359685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452725364030
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1452725818000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452725828582
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1452725838215
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1452725838288
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1452725849977
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1452725849978
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1452725849978
error,log,,,"Failed command: target remote localhost:2331",1452725862477
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1452725862483
error,log,,,"Failed command: monitor endian little",1452725862580
error,log,,,"Failed command: monitor speed 30",1452725862683
error,log,,,"Failed command: monitor reset",1452725862786
error,log,,,"Failed command: monitor sleep 10",1452725862895
error,log,,,"Failed command: monitor reg cpsr = 0xd3",1452725862997
error,log,,,"Failed command: monitor cp15 7, 7, 0, 0 = 0x0",1452725863099
error,log,,,"Failed command: monitor cp15 8, 7, 0, 0 = 0x0",1452725863201
error,log,,,"Failed command: monitor cp15 1, 0, 0, 0 =0x1002",1452725863304
error,log,,,"Failed command: monitor cp15 15, 2, 0, 4 = 0x70000013",1452725863406
error,log,,,"Failed command: monitor MemU32 0x7e004000  =  0x00000000",1452725863509
error,log,,,"Failed command: monitor sleep 10",1452725863612
error,log,,,"Failed command: monitor MemU32 0x71200014  =  0x00000000",1452725863714
error,log,,,"Failed command: monitor MemU32 0x71300014  =  0x00000000",1452725863816
error,log,,,"Failed command: monitor MemU32 0x7120000C  =  0x00000000",1452725863919
error,log,,,"Failed command: monitor MemU32 0x7130000C  =  0x00000000",1452725864020
error,log,,,"Failed command: monitor MemU32 0x71200F00  =  0x00000000",1452725864129
error,log,,,"Failed command: monitor MemU32 0x71300F00  =  0x00000000",1452725864231
error,log,,,"Failed command: monitor MemU32 0x7e00f900  =  0x0000801e",1452725864333
error,log,,,"Failed command: monitor MemU32 0x7e00f000  =  0x0000ffff",1452725864434
error,log,,,"Failed command: monitor MemU32 0x7e00f004  =  0x0000ffff",1452725864536
error,log,,,"Failed command: monitor MemU32 0x7e00f020  =  0x01043310",1452725864638
error,log,,,"Failed command: monitor MemU32 0x7e00f00C  =  0xc2150601",1452725864744
error,log,,,"Failed command: monitor MemU32 0x7e00f010  =  0xc2150601",1452725864847
error,log,,,"Failed command: monitor MemU32 0x7e00f024  =  0x00000003",1452725864949
error,log,,,"Failed command: monitor MemU32 0x7e00f014  =  0x00200102",1452725865051
error,log,,,"Failed command: monitor MemU32 0x7e00f018  =  0x00000000",1452725865152
error,log,,,"Failed command: monitor MemU32 0x7e00f01C  =  0x14000007",1452725865254
